Unique_ID,Neutro4,Thrombo4,Anemia4,Lympho4,GINONV_34,ALLERGY_34,AUDITORY_34,CARDIO_34,COAGULATION_34,CONSTITUTIONAL_34,EPIDERMAL_34,ENDOCRINE_34,INFECTION_34,METABOLIC_34,HEMORRHAGE_34,LYMPHATICS_34,MUSCLE_34,NEUROLOGICAL_34,OCULAR_34,PAIN_34,PULMONARY_34,RENAL_34,VASCULAR_34,OTHER_34,NO_DLT,DLT_PROP
AJANG0206_T,0.064,0.021,0.021,0.012450904605562139,0.149,0.005174449246329253,0.005227618499338502,0.08616639665146611,0.022088909356397797,0.255,0.0,0.0,0.021,0.05039087769460305,0.028341233652376473,0.02642054485529001,0.034188359103153515,0.036032758764542344,0.0,0.06739710987729877,0.04783247896229326,0.002160554183493868,0.012019656915459337,0.10906515157406031,0.3172162303399083,0.6827837696600917
AJANI0805_T1,0.67,0.0,0.08,0.03312800826889709,0.1,0.01124349565970138,0.018942918931606805,0.06166518249078349,0.0,0.18,0.07911447151531091,0.0,0.27,0.03519307661616112,0.01851198549567186,0.04425626567895756,0.012433450457266754,0.11,0.00038107898446758555,0.07,0.05081219839099869,0.005367985039396728,0.06080505592987798,0.1214000653046597,0.07636585869864448,0.9236341413013556
AJANI0805_T2,0.7,0.04,0.03,0.04426311964104225,0.32,0.027647243823736276,0.016072322344294662,0.03358997140220872,0.0,0.2,0.09715768036110548,0.0,0.27,0.04872155664891344,0.01704638994969826,0.06807159448918476,0.01775792946082554,0.11,0.0,0.01,0.0,0.009960159582200423,0.0710556687364774,0.1628843929013424,0.05139009833166351,0.9486099016683365
AJANI0906_T1,0.04,0.48109462690278143,0.0,0.11544815853347784,0.17,0.04,0.0011142737206078978,0.12467210957360346,0.022958384471832988,0.39,0.04,0.0,0.04,0.0,0.02946759380577807,0.07765142664469696,0.04730130837276557,0.09,0.0008955808605340459,0.09,0.04,0.0,0.034590477612091164,0.12207887668603304,0.09680473908714944,0.9031952609128505
AJANI0906_T2,0.0,0.3293178067406849,0.0,0.07911945828140209,0.04,0.0,0.0,0.046548911890592376,0.02963814497750592,0.04,0.04,0.0,0.0,0.04,0.022176170018922498,0.00368548369282928,0.004587065843549131,0.04,0.0036562865653959964,0.04,0.0,0.04,0.04809223218684547,0.05939037829870401,0.3714707867033832,0.6285292132966168
BAEKU0406_T,0.025,0.0,0.0,0.002550533247882589,0.15,0.0033126385140621467,0.007185555554316447,0.03196804492436371,0.00744077823279184,0.08190868017371059,0.0,0.0,0.05,0.03415680323841728,0.02349166538202984,0.0,0.01585384591828629,0.0,0.0030392634179777977,0.0,0.048311347897418186,0.013133102599448554,0.019406955938518863,0.09145773514327588,0.5307680118619345,0.46923198813806555
BAIZE0809_T,0.0,0.0,0.0,0.0026088292810028447,0.0,0.02045030252973158,0.0,0.01352363008926541,0.02476223806266807,0.0,0.115,0.0,0.0,0.03736328068304532,0.023650101002973777,0.00828134643964826,0.017122577974588108,0.115,0.017166819566873687,0.075,0.021048612449615013,0.012270321587349808,0.06003299495135658,0.060511789238756206,0.523547629497449,0.47645237050255096
BLANK1101_T,0.111,0.0,0.0,0.009097788752825641,0.278,0.03110259616133549,0.0,0.051264685060604755,0.026060350469778934,0.055999999999999994,0.05693461433565691,0.0,0.083,0.09,0.023075351026944937,0.0,0.018026137204696115,0.055999999999999994,0.013416531768985922,0.04425170477116744,0.03,0.027999999999999997,0.11,0.13328154432309286,0.2627033402974355,0.7372966597025645
BLANK0410_T,0.027999999999999997,0.0,0.0,0.0,0.278,0.028463054570687076,0.008324293605908983,0.027263044921829557,0.0458514337703076,0.222,0.07666412132156122,0.0,0.027999999999999997,0.06,0.028813780867207324,0.056242640348608854,0.05014781661280017,0.13102570448230103,0.014571873720401623,0.16699999999999998,0.09,0.021691548257364912,0.08,0.14510207420035115,0.1790986711658523,0.8209013288341477
BURGE0406_T,0.033,0.4442533211571346,0.0,0.1098364516033745,0.16699999999999998,0.0,0.0,0.11321167433709521,0.039708570226122626,0.2,0.067,0.0,0.0,0.03,0.02365913458775473,0.007836326633292534,0.012556272891618203,0.03,0.0,0.0,0.03,0.0073259832757612275,0.06576266728362362,0.08928450249568695,0.18675479237979367,0.8132452076202064
CASCI0910_T1,0.029930651025940086,0.0118922494999122,0.0,0.012710360239252991,0.051,0.03563003484140399,0.0009944894345175906,0.027520756599264756,0.022519659749289773,0.128,0.077,0.0,0.051,0.0,0.027045369289616983,0.013608964650983296,0.03637448276048896,0.0,0.019495660798235014,0.04270200292130877,0.007026896270921047,0.0,0.0758060108179053,0.09136187026820851,0.4547162353500359,0.5452837646499641
CASCI0910_T2,0.08412699894335984,0.07118924810962092,0.0,0.025789985548400757,0.026000000000000002,0.0036273783777953927,0.01138756089079785,0.033587613044741046,0.0,0.154,0.0,0.0,0.10300000000000001,0.0,0.024156058213755088,0.012711839787028577,0.026689040671791838,0.0,0.00744010475019609,0.04149674644986345,0.04157468048926593,0.0,0.05119700193042909,0.0784971042844389,0.4359176420191838,0.5640823579808162
CHANG0505_T,0.2,0.0,0.067,0.008630706586696426,0.0,0.006332035469355984,0.004047446711815518,0.01586890439584128,0.0,0.07860281201993347,0.016232077562010644,0.0,0.044000000000000004,0.0,0.025445693428677033,0.002546161159886519,0.02800801742230986,0.022000000000000002,0.015227357841698014,0.022000000000000002,0.0232951593327774,0.0,0.047290512021752495,0.06569614809036359,0.48319741973354535,0.5168025802664546
CHEN0112_T,0.043,0.0,0.0,0.0,0.021,2.850920394273371e-07,0.0010899210009938263,0.027505485887902248,0.0,0.064,0.0,0.0,0.08137993802846719,0.064,0.026507802397813057,0.0,0.02585983656102649,0.043,0.015975089759275658,0.033130252271929866,0.007307987916500301,0.0,0.052581288441529594,0.07921055456476647,0.5477122177547229,0.4522877822452771
CHI1011_T,0.28600000000000003,0.0,0.0,0.03394776381736656,0.0,0.0047496287247228534,0.0,0.0,0.0,0.0,0.020427756831714272,0.0,0.05751820522191822,0.0,0.020118775336240586,0.006524250326172529,0.008730564790012593,0.14300000000000002,0.005593971569543949,0.025369815366646287,8.43813991046466e-06,0.0,0.006006067083061534,0.057664258725810755,0.475809592628249,0.5241904073717509
COCCI0403_T1,0.28922859189028,0.021,0.011000000000000001,0.026268066374663834,0.18100000000000002,0.005930469164044931,0.0,0.021,0.03418561337241161,0.08183698717004204,0.0,0.0,0.0,0.0,0.02405679745028565,0.0,0.019791634886669355,0.011000000000000001,0.00556210743797281,0.0025069969439483197,0.01801928530173787,0.0,0.032008018873683985,0.09606294525582885,0.3819309347615396,0.6180690652384604
COCCI0403_T2,0.31219748702690153,0.043,0.022000000000000002,0.02386841609414904,0.11800000000000001,0.00163884634816297,0.0,0.022000000000000002,0.04491072437133271,0.07762806368547064,0.0,0.0,0.0,0.01,0.024268461708757356,0.002730857276137248,0.019667333783597255,0.011000000000000001,0.011094419411176979,0.005472573883889276,0.0,0.011000000000000001,0.09568054634665851,0.07496812682518447,0.36229489804263576,0.6377051019573643
COCCI1294_T1,0.0,0.0,0.0,0.0,0.057999999999999996,0.002955192941397157,0.0032458564712196545,0.0,0.009613082420306469,0.07643667755515064,0.0,0.0,0.06952995823186683,0.03180174100832949,0.027281662160302526,0.007605809843322861,0.033302297189988894,0.0,0.017756607723187028,0.02083422867375162,0.008869769311651683,0.0,0.055636473003114806,0.09247160392997866,0.5881111135362715,0.41188888646372845
COCCI1294_T2,0.0408139117338015,0.012,0.0,0.0058801899737493685,0.059000000000000004,0.010082826822677547,0.0,0.0,0.011008708143908252,0.06434471740075307,0.0,0.0,0.06719587770769844,0.031131104269240546,0.025592921502565376,0.015051986946917978,0.027960623931504076,0.0,0.012681819230189826,0.019115727306974556,0.004072596442899194,0.012,0.03527785091837023,0.0986042330353395,0.5673691669091928,0.4326308330908072
DELIS0196_T1,0.00825919398226544,0.0,0.0,0.002976203572076388,0.0,0.004362485958476318,0.0,0.0,0.004622921372135883,0.0817430435489077,0.013113161352524244,0.0,0.06832541339473999,0.03883522283089245,0.02845473302720608,0.0,0.038064983536786876,0.0,0.022704457422563534,0.02853978250903899,0.01527195562835175,0.0,0.06350108515641883,0.08777323205160667,0.5935706044269727,0.40642939557302726
DELIS0196_T2,0.0,0.0,0.0,0.0001821131352851787,0.0,0.016417832224142843,0.0,0.019,0.013924875606437629,0.07719568068992146,0.018659055967731625,0.0,0.06527097681246966,0.0447295486135118,0.027478876844893106,0.0,0.03422226032185506,0.0,0.024828614131977855,0.03984336276243039,0.005940436848681438,0.038,0.11658596453635761,0.08279771017812582,0.5241653946074675,0.47583460539253253
DILAU0707_T,0.075,0.0,0.0,0.0167076229356162,0.1,0.0,0.007084557577708224,0.0,0.001652308789085847,0.075,0.023560014962622555,0.0,0.075,0.03269309360212839,0.025504655246787543,0.0,0.028483346345671793,0.0,0.014356910791936676,0.031063294208040187,0.029355418191197635,0.013673419247165641,0.05103717594592452,0.09633646140229248,0.48678405658910257,0.5132159434108974
ENZIN0109_T,0.05437307491672398,0.0,0.013426176438887827,0.001894400018874076,0.36,0.09,0.001455681696720998,0.11035666631060105,0.06904517227268672,0.18,0.09408006422912538,0.0,0.05,0.06123069107289702,0.02826447109003117,0.023607335173297876,0.0381266360577697,0.0,0.016453213623951295,0.05,0.08217218756549077,0.04743161663774814,0.11,0.17174663189053807,0.1632920446638505,0.8367079553361495
FINDL0904_T,0.1595174710741691,0.065,0.020600352210464842,0.015080075726420712,0.07200000000000001,0.015503621234002639,0.0010685661461025831,0.013547112944239229,0.02291984671328577,0.07686615445153325,0.01,0.0,0.057999999999999996,0.04425321637891986,0.0262271645858884,0.001383935128412138,0.03052895647337468,0.0,0.02075226635408856,0.034107005022321,0.0,0.05,0.12343682149535462,0.08989994770339513,0.3707726646602871,0.6292273353397129
GIULI1205_T,0.0547565214541503,0.0,0.007433312812729881,0.0037950265145828225,0.0,0.0,0.0014191059199281748,0.01317908675176653,0.0,0.0,0.028150809894943035,0.0,0.06765513218357372,0.01940596571238099,0.024127504051315696,0.0,0.016610293958341373,0.014099741522781761,0.01591125049948225,0.012915122562705633,0.0,0.009139480313356152,0.0563256010422164,0.0715884090427561,0.6529112159398535,0.34708878406014654
GRAZI1000_T,5.9839432706633444e-05,0.0,0.0,0.008328677797725809,0.0,0.0,0.01199417474203129,0.0,0.0,0.0,0.048,0.0,0.07735167727168717,0.0,0.018796813374971615,0.0,0.0,0.0,0.0,0.014238966713175844,0.006676545623371805,0.02211245140257173,0.0012842154376152687,0.050563615032200075,0.7666416391684485,0.23335836083155148
