Beans,Bulgur,Cheese,Fish,Meat,CSB,Dates,DSM,Milk,Salt,Lentils,Maize,Maize meal,Chickpeas,Rice,Sorghum,Soya-fortified bulgur wheat,Soya-fortified maize meal,Soya-fortified sorghum grits,Soya-fortified wheat flour,Sugar,Oil,Wheat,Wheat flour,WSB,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332848,0.0,0.05,0.0,0.0,0.0,0.577136,0.0,1.844394,0.0,0.0,0.0,0.0,0.2,0.244794,2.763699,0.0,0.61218,0.8871
0.672515,0.0,0.0,0.0,0.0,0.0,0.0,0.303547,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.32979,0.466076,2.805293,0.661469,0.7927
0.763205,0.0,0.0,0.0,0.0,0.802334,0.0,0.401825,0.0,0.05,0.040261,0.0,2.310679,0.0,0.23017,0.0,0.0,0.0,0.0,0.0,0.2,0.202625,0.0,0.0,0.063198,0.3962
0.64954,0.0,0.0,0.0,0.0,0.112946,0.0,0.354255,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.340109,0.49745,3.633211,0.507473,0.8331
0.300117,1.839747,0.0,0.0,0.0,0.7,0.0,0.588486,0.0,0.05,0.0,0.0,0.0,0.0,0.604024,0.0,0.0,0.023299,0.0,0.0,0.2,0.391868,0.0,0.0,0.0,0.0937
0.564303,0.0,0.0,0.0,0.0,0.0,0.0,0.271592,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.350055,2.882571,1.762215,0.677326,0.7072
0.536592,0.0,0.0,0.0,0.0,0.0,0.0,0.304353,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.725513,0.0,0.0,0.0,0.0,0.2,0.27159,2.126752,0.0,0.69236,0.8569
0.908775,0.0,0.0,0.0,0.0,0.0,0.0,0.190202,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.298116,2.662943,2.106586,0.706547,0.5905
0.0,5.697718,0.0,0.180075,0.0,0.0,0.957957,0.050526,0.359953,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.174061,0.0,0.0,0.649446,0.1698
0.699505,0.0,0.0,0.021598,0.0,0.7,0.256618,0.445443,0.0,0.05,0.0,0.0,5.910139,0.0,0.0,0.0,0.0,0.0,0.162708,0.0,0.2,0.323464,0.0,0.0,0.0,0.2201
0.68949,0.0,0.024267,0.0,0.0,0.0,0.0,0.182985,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.007341,0.0,0.0,0.0,0.2,0.221699,0.513712,3.518094,0.846917,0.6171
0.554406,0.0,0.0,0.0,0.0,0.7,0.0,0.272547,0.176842,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.172544,0.0,0.0,0.0,0.2,0.273674,0.534668,4.454556,0.0,0.5263
0.917667,0.0,0.364848,0.0,0.063317,0.0,0.0,0.071127,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004072,0.0,0.0,0.2,0.281042,0.0,4.238,0.7,0.5469
0.90774,0.0,0.0,0.0,0.0,0.0,0.0,0.117098,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.998868,0.0,0.0,0.0,0.0,0.2,0.336345,3.713735,0.670674,0.858515,0.3131
0.372222,0.0,0.0,0.0,0.0,0.0,0.0,0.159959,0.0,0.05,0.0,0.081249,0.0,0.0,0.0,2.30575,0.0,0.0,0.0,0.0,0.2,0.195343,1.666706,0.0,0.848555,0.3945
0.755513,3.354279,0.0,0.0,0.0,0.0,0.0,0.314983,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.279572,0.08071,0.0,0.687965,0.8331
0.615071,0.513061,0.0,0.0,0.0,0.0,0.0,0.312248,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.136359,0.0,0.0,0.0,0.0,0.2,0.276925,0.278011,0.0,0.653594,0.8422
0.841996,0.0,0.0,0.0,0.0,0.0,0.0,0.21562,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.792367,0.0,0.0,0.0,0.0,0.2,0.23658,0.0,2.147253,0.753006,0.5849
0.897104,0.0,0.0,0.0,0.0,0.7,0.0,0.245063,0.194557,0.05,0.0,0.0,0.0,0.0,0.0,4.849858,0.0,0.0,0.025928,0.0,0.2,0.164235,0.0,0.0,0.0,0.389
0.605868,0.0,0.0,0.0,0.0,0.7,0.0,0.540067,0.0,0.05,0.311737,0.0,0.0,0.0,2.176409,0.0,0.0,0.179162,0.0,0.0,0.2,0.350438,0.0,0.0,0.0,0.1631
0.576707,0.951523,0.0,0.0,0.0,0.0,0.0,0.400698,0.0,0.05,0.0,2.388305,0.0,0.0,0.0,0.424943,0.0,0.0,0.0,0.0,0.2,0.29305,0.0,0.0,0.59983,0.9056
0.331681,0.0,0.0,0.0,0.0,0.0,0.0,0.305271,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.285716,0.053871,0.0,0.0,0.0,0.2,0.32986,1.589167,0.0,0.7,0.3299
0.615905,0.0,0.0,0.0,0.0,0.691661,0.0,0.460102,0.0,0.05,0.034139,0.0,0.670645,0.0,2.375633,0.0,0.0,0.0,0.0,0.0,0.2,0.256659,0.0,0.0,0.071571,0.639
0.0,1.942611,0.0,0.0,0.0,0.678957,0.0,0.44598,0.0,0.05,0.0,0.0,0.0,0.638818,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.293542,0.0,2.99738,0.0,0.7251
0.474381,0.0,0.0,0.0,0.289711,0.0,0.0,0.284088,0.0,0.05,0.415228,0.0,0.0,0.0,5.438878,0.0,0.0,0.0,0.0,0.0,0.2,0.220451,0.0,0.0,0.81568,0.275
0.0,0.0,0.0,0.00696,0.0,0.653119,0.0,0.485397,0.0,0.05,0.0,0.0,0.0,0.712635,0.872819,0.0,0.0,0.0,0.0,0.0,0.2,0.252751,2.479748,0.0,0.0,0.7112
0.694152,0.0,0.0,0.0,0.0,0.0,0.0,0.218451,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.324429,1.117962,2.999507,0.684165,0.8055
0.0,0.0,0.0,0.0,0.0,0.0,0.97564,0.048297,0.442958,0.05,0.0,0.0,2.820062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.371767,2.519851,0.0,0.646903,0.301
0.566686,0.0,0.0,0.0,0.0,0.0,0.0,0.307483,0.0,0.05,0.0,0.0,0.989982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.227771,1.850083,1.074165,0.699739,0.8096
0.886136,0.0,0.0,0.0,0.0,0.0,0.0,0.24188,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.356335,3.353237,1.557694,0.628886,0.5643
0.993605,0.0,0.44036,0.0,0.0,0.360042,0.0,0.011346,0.139966,0.05,0.0,0.0,3.621505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.152294,0.0,0.0,0.423547,0.1429
0.398403,1.679594,0.0,0.0,0.0,0.7,0.0,0.489257,0.0,0.05,0.0,0.0,4.239743,0.0,0.0,0.0,0.0,0.116763,0.0,0.0,0.2,0.380481,0.0,0.0,0.0,0.1807
0.0,0.0,0.0,0.007911,0.0,0.0,0.0,0.28597,0.0,0.05,0.0,0.0,5.128733,0.98578,0.0,0.0,0.176619,0.0,0.0,0.0,0.2,0.16945,0.665237,0.0,0.7,0.1602
0.6829,0.0,0.0,0.0,0.0,0.0,0.0,0.108528,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.232977,3.266807,2.52967,0.831189,0.3913
0.979761,0.0,0.0,0.0,0.0,0.0,0.0,0.136031,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.298205,0.0,2.811779,0.89958,0.2925
0.691025,0.0,0.0,0.0,0.0,0.0,0.0,0.106565,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.169777,0.0,0.0,0.0,0.0,0.2,0.272677,0.593866,1.489413,0.845406,0.5856
0.774662,0.0,0.0,0.0,0.0,0.667002,0.0,0.411217,0.0,0.05,0.023841,0.0,2.404065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20554,0.0,0.0,0.13986,0.4238
0.588167,0.0,0.0,0.0,0.0,0.7,0.0,0.560807,0.0,0.05,0.316088,0.0,0.0,0.0,2.37178,0.0,0.0,0.148556,0.0,0.0,0.2,0.378821,0.0,0.0,0.0,0.1486
0.378316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435222,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107062,0.2,0.381312,5.838918,0.0,0.702342,0.2132
0.553099,1.037878,0.0,0.0,0.0,0.0,0.0,0.239563,0.15486,0.05,0.0,2.09759,0.0,0.0,0.0,0.0,0.044525,0.0,0.0,0.0,0.2,0.382576,0.0,0.0,0.7,0.5036
0.495016,0.0,0.475737,0.0,0.0,0.0,0.470899,0.0,0.035618,0.05,0.0,0.0,0.0,0.0,5.768875,0.0,0.0,0.0,0.0,0.0,0.2,0.367692,0.0,0.0,0.875528,0.13
0.253407,0.0,0.0,0.0,0.0,0.7,0.0,0.474236,0.0,0.05,0.0,0.0,2.013849,0.709768,0.0,0.0,0.0,0.168026,0.0,0.0,0.2,0.387161,0.386237,0.0,0.0,0.1437
0.374998,0.0,0.0,0.0,0.0,0.0,0.0,0.2319,0.019782,0.05,0.0,0.0,0.0,0.0,0.0,3.591256,0.0,0.0,0.0,0.0,0.2,0.270171,1.57203,0.0,0.782494,0.505
0.490583,0.0,0.0,0.100098,0.0,0.0,0.0,0.371697,0.0,0.05,0.0,0.0,0.0,0.0,2.985328,0.0,0.051386,0.0,0.0,0.0,0.2,0.394083,0.29152,0.0,0.7,0.3966
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003782,0.568823,0.05,0.063637,0.0,0.0,0.915333,4.293743,0.0,0.0,0.0,0.0,0.0,0.2,0.323087,0.0,0.0,0.672805,0.3777
0.419112,0.0,0.0,0.0,0.0,0.0,0.0,0.091075,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.569697,0.0,0.0,0.0,0.0,0.2,0.360228,1.568748,0.974011,0.891668,0.277
0.32448,2.191573,0.0,0.0,0.0,0.0,0.0,0.09666,0.364347,0.05,0.0,0.0,3.115333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.173195,0.0,0.0,0.691005,0.2975
0.619119,0.0,0.0,0.0,0.0,0.7,0.0,0.531037,0.0,0.05,0.344055,0.0,0.0,0.0,2.000619,0.0,0.0,0.109169,0.0,0.0,0.2,0.395246,0.0,0.0,0.0,0.066
0.0,1.350638,0.0,0.0,0.0,0.0,0.0,0.554572,0.0,0.05,0.0,0.0,4.52934,0.809472,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.287401,0.0,0.0,0.857011,0.2805
0.316843,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.588848,0.05,0.0,0.0,0.114058,0.627199,0.0,2.412787,0.0,0.194114,0.0,0.0,0.2,0.204812,0.361982,0.0,0.0,0.1805
0.772866,0.0,0.0,0.0,0.0,0.222572,0.0,0.417681,0.0,0.05,0.039971,0.0,2.985943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.244545,0.0,0.0,0.424504,0.679
0.0,0.0,0.0,0.0,0.127324,0.7,0.916598,0.468138,0.0,0.05,0.0,0.0,3.050101,0.0,0.0,0.0,0.0,0.0,0.0,0.014253,0.2,0.360326,2.43966,0.0,0.0,0.2313
0.801312,0.0,0.0,0.0,0.0,0.0,0.0,0.206894,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.267709,3.669645,1.610689,0.701089,0.6402
0.413733,0.0,0.0,0.0,0.0,0.0,0.0,0.132499,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.402868,0.0,0.0,0.0,0.0,0.2,0.171665,3.199978,0.041984,0.855498,0.2265
0.0,0.0,0.0,0.0,0.0,0.016194,0.0,0.325348,0.0,0.05,0.119928,0.0,0.0,0.535515,0.316413,0.0,0.0,0.0,0.0,0.0,0.2,0.254921,1.70001,1.512882,0.666277,0.8786
0.749037,0.0,0.0,0.149864,0.0,0.0,0.0,0.244146,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.104922,0.0,0.0,0.0,0.2,0.353251,0.054981,3.582631,0.7,0.5813
0.0,0.0,0.016915,0.0,0.0,0.0,0.0,0.252542,0.0,0.05,0.0,0.0,0.0,0.833195,0.0,1.50246,0.0,0.0,0.0,0.0,0.2,0.205004,2.408624,0.0,0.747781,0.6319
0.588672,0.087594,0.0,0.0,0.0,0.0,0.0,0.394,0.0,0.05,0.0,0.0,0.066895,0.0,2.81914,0.0,0.0,0.0,0.0,0.0,0.2,0.330562,0.0,0.0,0.698019,0.6744
0.0,3.456411,0.0,0.0,0.0,0.7,0.805818,0.570098,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151748,0.2,0.376314,0.0,0.0,0.0,0.2995
0.0,0.0,0.0,0.0,0.03358,0.838531,0.782091,0.351368,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.387111,5.629645,0.0,0.0,0.3152
0.0,0.0,0.0,0.0,0.0,0.22356,0.0,0.338648,0.0,0.05,0.0,0.0,0.0,0.736551,0.0,2.445971,0.0,0.0,0.0,0.0,0.2,0.289971,1.36103,0.0,0.468386,0.8621
0.778224,0.0,0.0,0.0,0.0,0.0,0.0,0.305616,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.582434,0.0,0.0,0.0,0.0,0.2,0.237881,1.058216,1.883842,0.635345,0.8345
0.721746,0.319579,0.0,0.0,0.0,0.552376,0.0,0.358834,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.227146,0.0,0.0,0.0,0.03978,0.2,0.20919,0.0,0.0,0.147624,0.5424
0.941195,0.0,0.0,0.0,0.0,0.7,0.0,0.443444,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159618,0.0,0.2,0.221145,5.568881,0.0,0.0,0.2954
0.0,2.26088,0.0,0.0,0.0,0.888704,0.0,0.0,0.551772,0.05,0.0,0.0,0.0,0.484666,3.696011,0.0,0.0,0.0,0.0,0.0,0.2,0.382828,0.0,0.0,0.0,0.1238
0.486313,0.830513,0.0,0.0,0.0,0.646927,0.0,0.416101,0.0,0.05,0.0,0.0,0.062594,0.0,1.827198,0.0,0.0,0.0,0.0,0.0,0.2,0.265961,0.0,0.0,0.190702,0.507
0.860112,0.0,0.001814,0.0,0.0,0.132724,0.0,0.308032,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.238381,0.0,3.79335,0.547426,0.731
0.721677,0.237127,0.0,0.168223,0.0,0.694293,0.0,0.367914,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.507395,0.0,0.0,0.0,0.0,0.2,0.282446,0.0,0.0,0.0,0.617
0.429247,0.0,0.0,0.0,0.0,0.0,0.0,0.327391,0.0,0.05,0.0,0.0,2.965171,0.0,0.0,0.0,0.0,0.0,0.059971,0.0,0.2,0.237506,1.242498,0.0,0.733742,0.6179
0.514301,0.0,0.0,0.0,0.0,0.02192,0.0,0.377833,0.0,0.05,0.0,0.0,0.0,0.0,3.700582,0.0,0.087087,0.0,0.027666,0.0,0.2,0.344903,0.0,0.0,0.67808,0.5855
0.624087,0.0,0.0,0.0,0.0,0.714635,0.0,0.462214,0.0,0.05,0.296093,0.0,0.0,0.0,2.232154,0.0,0.0,0.182129,0.0,0.0,0.2,0.296956,0.0,0.0,0.0,0.2715
0.457156,1.280897,0.0,0.0,0.0,0.0,0.0,0.002275,0.528527,0.05,0.0,0.0,3.329517,0.0,0.0,0.0,0.126602,0.0,0.0,0.0,0.2,0.336708,0.0,0.0,0.7,0.4175
0.673495,0.0,0.204934,0.0,0.0,0.763777,0.0,0.346146,0.0,0.05,0.110319,0.0,1.724724,0.16765,0.427139,0.0,0.0,0.0,0.0,0.0,0.2,0.169738,0.0,0.0,0.0,0.1364
0.393043,1.820898,0.0,0.0,0.0,0.14189,0.0,0.401161,0.0,0.05,0.283778,0.0,2.729966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.177546,0.0,0.0,0.510791,0.6399
0.953864,0.0,0.0,0.0,0.0,0.0,0.0,0.127963,0.0,0.05,0.0,0.037383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.317859,4.412209,1.401784,0.803693,0.2724
0.745129,0.0,0.0,0.0,0.0,0.0,0.0,0.342695,0.060577,0.05,0.0,3.651714,0.0,0.0,0.590972,0.0,0.0,0.0,0.0,0.0,0.2,0.222376,0.0,0.0,0.607765,0.8102
