Beans,Bulgur,Cheese,Fish,Meat,CSB,Dates,DSM,Milk,Salt,Lentils,Maize,Maize meal,Chickpeas,Rice,Sorghum,Soya-fortified bulgur wheat,Soya-fortified maize meal,Soya-fortified sorghum grits,Soya-fortified wheat flour,Sugar,Oil,Wheat,Wheat flour,WSB,label
0.332249,1.727053,0,0,0,0.7,0,0.580318,0,0.05,0,0,0,0,0.504655,0,0,0.061171,0,0,0.2,0.383032,0,0,0,0.145981327
0.410056,0.943654,0,0,0,0,0,0.368221,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.303492,0.625881,2.873174,0.601267,0.726664752
0.322378,0,0,0,0,0.7,0,0.593349,0,0.05,0,0,0,0,5.611048,0,0.170941,0,0,0,0.2,0.362419,0,0,0,0.1326515
0,2.559936,0,0,0,0.070996,0,0,0.436894,0.05,0,0,3.376292,0.398509,0,0,0,0,0.134128,0,0.2,0.355122,0,0,0.687091,0.248014749
0.754512,0,0,0,0,0,0,0.248581,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.353588,0.96013,2.803711,0.648298,0.712138005
0.55349,0,0,0,0,0.230904,0,0.3435,0,0.05,0,0,0,0,0,3.395909,0,0,0.002228,0,0.2,0.304424,0.844813,0,0.469096,0.813497825
0.402279,0,0,0,0,0.7,0,0.57086,0,0.05,0,0,0,0.524583,0,5.987116,0.089033,0,0,0,0.2,0.209418,0,0,0,0.230321263
0.334921,0,0,0,0,0.7,0,0.53539,0,0.05,0,0,0,0,0.929583,1.196737,0.112809,0,0,0,0.2,0.364075,1.066106,0,0,0.291876776
0.588871,0,0,0,0,0.7,0,0.583827,0,0.05,0.395446,0,0,0,2.255625,0,0,0.086994,0,0,0.2,0.395641,0,0,0,0.095396688
0.748653,0,0,0,0,0.615964,0,0.428535,0.02569,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.248324,0.056182,3.890812,0,0.81192519
0.498472,0,0,0,0.035844,0,0,0.301834,0,0.05,0,0,0,0,0,0,0,0.121013,0,0,0.2,0.301277,5.113512,0,0.7,0.594120599
0.7685,0,0,0,0,0,0.006414,0.431732,0,0.05,0,0,5.519071,0,0,0,0,0,0,0,0.2,0.374522,0,0,0.63468,0.470977369
0.814457,0,0.078649,0,0,0.345462,0,0.267956,0,0.05,0.033398,0,2.754552,0,0,0,0,0,0,0,0.2,0.166832,0,0,0.522599,0.377628327
0.972278,0,0,0,0,0,0,0.140597,0,0.05,0,0,0,0,0,1.365131,0,0,0,0,0.2,0.364303,4.140131,0,0.799595,0.280538238
0.180593,0,0,0,0,0,0,0.000216,0.572857,0.05,0.292358,1.473666,0,0,0,0,0,0,0,0,0.2,0.223954,2.084055,0,0.681277,0.53129839
0.690673,0,0,0,0,0,0,0,0.581857,0.05,0,0,0,0,0,5.706115,0,0,0.057426,0,0.2,0.191042,0.221154,0,0.7,0.312162695
0.964833,0,0,0,0,0,0,0.085712,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.366836,0.60822,3.459065,0.880065,0.287427239
0.822575,0,0,0,0,0,0,0.311569,0,0.05,0,0.755315,0,0,0,0.709535,0,0,0,0,0.2,0.299966,2.161734,0,0.646186,0.803731922
0.545454,1.267906,0.23906,0,0,0.284554,0,0.272757,0,0.05,0,0,1.453529,0,0,0,0,0,0,0,0.2,0.153302,0,0,0.558716,0.315651476
0,5.232754,0.127757,0,0,0.7,0,0.351624,0,0.05,0,0,0,0.716049,0,0,0,0,0,0.023611,0.2,0.20882,0,0,0,0.561258967
0.548793,1.117488,0,0,0,0,0,0.262953,0,0.05,0,0,0,0,0,4.317303,0,0,0.112101,0,0.2,0.254113,0,0,0.731406,0.562700102
0.671069,0,0,0,0,0,0,0.332508,0,0.05,0,0,1.347141,0,2.05293,0,0,0,0,0.0094,0.2,0.344732,0,0,0.741666,0.675940562
0,0,0,0,0,0,0,0.299558,0,0.05,0,0,1.395239,0.756739,0,0,0,0,0,0,0.2,0.247822,4.118356,0,0.617156,0.702855165
0.761273,0,0,0,0,0,0.036842,0.42708,0,0.05,0,4.196977,0,0,0,0,0.015378,0,0,0,0.2,0.254585,0,0,0.7,0.737394095
0.573576,1.058765,0.213866,0,0,0.871297,0,0.31397,0,0.05,0,0,1.673086,0,0.074981,0,0,0,0,0,0.2,0.153003,0,0,0,0.29972385
0.628171,0.794967,0,0.01587,0,0,0,0.329331,0,0.05,0,0,0,0,0,3.149625,0,0,0,0,0.2,0.23745,0,0,0.654388,0.898149068
0.405428,0,0,0,0,0,0,0.202379,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.334012,2.430973,2.705718,0.746917,0.509646479
0,5.642575,0.068265,0,0,0.548237,0,0.353078,0,0.05,0.61264,0,0,0,0,0,0,0,0,0,0.2,0.192474,0,0,0.227872,0.478059594
0,0,0,0,0,0,0,0.330264,0,0.05,0,0,0.209182,0.655523,0,1.169003,0,0,0,0,0.2,0.281256,2.756054,0,0.623915,0.971939467
0.732575,0,0,0,0,0.7,0,0.541961,0,0.05,0,0,0,0,0,5.403278,0.014033,0,0,0.169222,0.2,0.295972,0,0,0,0.407924363
0,0,0.020234,0,0,0.252736,0,0.422792,0,0.05,0.699163,0,0,0,1.45213,0,0,0,0,0,0.2,0.253857,2.409549,0,0.391445,0.83403601
0.698555,0,0,0,0,0,0,0.26556,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.302699,0.411413,2.897664,0.673562,0.826360692
0.113239,0,0.21952,0,0,0.145695,0,0.312287,0,0.05,0,0,0,0.672449,5.1598,0,0,0,0,0,0.2,0.211723,0,0,0.472914,0.548484661
0.838475,0,0,0,0,0.674444,0,0,0.395743,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.277407,0,5.20442,0.163016,0.539864689
0.394531,0,0,0,0,0,0,0.124591,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.329485,1.994831,3.455422,0.827816,0.37461724
0.574695,0.272763,0,0,0,0,0,0.416525,0,0.05,0,0,0.229962,0,2.305791,0,0,0,0,0,0.2,0.345915,0,0,0.655364,0.617562523
0.4864,0.82533,0,0,0,0.781974,0,0.471574,0,0.05,0,0,0,0,1.591517,0,0,0.035958,0,0,0.2,0.38959,0,0,0,0.294206208
0,0,0,0,0,0.406518,0.410773,0.436058,0,0.05,0,0,1.595025,0,0,0,0.194228,0,0,0,0.2,0.263841,2.323219,0,0.293482,0.508758182
0.626825,0.924887,0,0,0.049822,0,0,0.238523,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.297961,0,4.32772,0.750756,0.686855079
0,0,0,0,0.078333,0.7,0,0.404524,0,0.05,0.987587,0,0,0,0,0,0.003978,0,0,0,0.2,0.378506,5.020418,0,0,0.31555218
0,0,0,0,0,0,0.228064,0,0.50639,0.05,0,0,0,0.352691,0,0,0,0,0,0,0.2,0.370817,3.455958,0,0.759223,0.485176707
0.955614,0,0,0,0,0,0,0.056256,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.396787,3.068835,2.701339,0.849271,0.110583619
0.633828,0,0,0,0,0,0,0.056826,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.245,2.20397,3.526264,0.874206,0.377633694
0.897558,0,0,0,0,0,0,0.186911,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.369969,1.551031,2.668485,0.717775,0.496496459
0.606776,0.564814,0.237939,0,0,0.816763,0,0.325195,0,0.05,0,0,1.425934,0,1.187057,0,0,0,0,0,0.2,0.159523,0,0,0,0.356440692
0.884658,0,0,0,0.039988,0.897324,0,0.271702,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.397471,0,5.899233,0,0.197880968
0.965389,0,0,0,0,0.7,0,0,0.579722,0.05,0,0,0,0,0,5.928089,0,0,0,0.162824,0.2,0.170108,0,0,0,0.106112612
0.561942,0,0,0,0,0,0,0.170947,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.234969,2.106185,3.029403,0.733092,0.645996087
0.930197,0,0,0,0,0,0,0.067946,0,0.05,0,0.246131,0,0,0,3.613303,0,0,0,0,0.2,0.164375,0,0,0.864183,0.290542988
0.629659,0,0,0,0,0,0,0.060624,0.202215,0.05,0,0,5.483612,0.361482,0,0,0,0,0,0,0.2,0.364786,0,0,0.86334,0.270262437
0.785479,0,0,0,0,0.656794,0,0.372277,0,0.05,0.1386,0,2.873329,0,0,0,0,0,0,0,0.2,0.185023,0,0,0.195983,0.384995022
0.828914,0,0,0,0,0,0,0.242059,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.372048,0.222535,3.059992,0.664118,0.566159362
0.716265,0,0.175103,0,0,0,0,0.327989,0.016187,0.05,0,0,0,0,3.206106,0,0,0,0,0,0.2,0.234987,0,0,0.631945,0.666829476
0.496025,0,0,0,0,0,0,0.38104,0,0.05,0,0,3.536784,0,0,0,0,0,0,0,0.2,0.170813,1.013008,0,0.659497,0.597915319
0,4.964206,0,0,0,0,0,0.236554,0,0.05,0.134152,0,0,0.449534,0,0,0,0,0,0,0.2,0.257138,0,0,0.830925,0.649560011
0,1.654111,0.385764,0,0,0,0,0.022731,0.10805,0.05,0,0,0,0.920094,0,1.643837,0,0.17876,0,0,0.2,0.379659,0,0,0.7,0.272114174
0.528746,0.894945,0.124948,0,0,0.859088,0,0.369943,0,0.05,0,0,1.151788,0,1.120065,0,0,0,0,0,0.2,0.194088,0,0,0,0.450661929
0.832516,0,0.366758,0,0,0,0,0.147517,0,0.05,0,0,0,0,5.406366,0,0,0,0,0,0.2,0.312746,0,0,0.70216,0.493598087
0.754622,0.456591,0.13955,0,0,0,0,0.136351,0,0.05,0,0,0,0,0,4.521359,0,0,0,0,0.2,0.237609,0,0,0.806296,0.650791819
0.311323,1.732384,0,0,0,0.7,0,0.567703,0,0.05,0,0,0,0,0.886015,0,0,0.133831,0,0,0.2,0.340047,0,0,0,0.226961299
0,0,0,0,0,0.7,0,0.585986,0,0.05,0,0,0,0.973739,0,4.215227,0,0,0.152598,0,0.2,0.264351,0.503861,0,0,0.318093623
0.600731,5.794485,0,0,0,0,0.087036,0.256011,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.289134,0,0,0.741641,0.587180609
0.328895,1.730522,0,0,0,0.7,0,0.556798,0,0.05,0,0,0,0,0.654475,0,0,0.106569,0,0,0.2,0.318561,0,0,0,0.265735073
0.487404,1.459373,0,0,0,0,0,0.336221,0,0.05,0,0.304338,0.387557,0,0,0,0,0,0,0,0.2,0.237301,0,0.818021,0.726487,0.673235415
0,0,0,0,0,0.768311,0,0.472294,0,0.05,0.71708,1.879943,0,0,0,0,0,0,0,0,0.2,0.270256,2.674222,0,0,0.67636995
