save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,auc_train,auc_test,outcome,alg
results/mlp/TPDP_v1_palatability_1_model.csv,1,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (100,)}",-0.019854688602985362,0.011064680927472396,0.7832510216353195,0.018394522665774987,0.6418989069753125,,,palatability_1,mlp
results/linear/TPDP_v1_palatability_1_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': 0.1}",-0.0455940502511361,0.04494230882369555,0.11961315588417554,0.04647042488484837,0.09532254536028606,,,palatability_1,linear
results/gbm/TPDP_v1_palatability_2_model.csv,1,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 20}",-0.008342740324826164,0.0031460526547302417,0.9383711375624779,0.008664230064806966,0.831326405539319,,,palatability_2,gbm
results/cart/TPDP_v1_palatability_2_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 10, 'max_features': 1.0, 'min_samples_leaf': 0.02}",-0.016013557459233496,0.010676479379551226,0.7908556050356943,0.015873275949482357,0.6909820618521263,,,palatability_2,cart
