,save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,auc_threshold,auc_train,auc_test,outcome,outcome_label,alg,bootstrap_iteration
0,results/cart/vAAAI-23_WFPexample_palatability_s0_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 0.02}",-0.014746131331721738,0.011849332956652487,0.7596535401549386,0.014127246086486515,0.7284120702429107,0.5,0.937369921760533,0.931429646440994,palatability,palatability_s0,cart,0
0,results/cart/vAAAI-23_WFPexample_palatability_s1_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 9, 'max_features': 1.0, 'min_samples_leaf': 0.02}",-0.01415130127938631,0.0117955192941538,0.7699757356309128,0.015408708341935324,0.7037402775834714,0.5,0.9374579111944966,0.9265343372119552,palatability,palatability_s1,cart,1
0,results/cart/vAAAI-23_WFPexample_palatability_s2_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 0.02}",-0.01499058508897424,0.012247712031032356,0.758720086997085,0.013630466945960809,0.737960641345663,0.5,0.9326957695769577,0.9318839535526016,palatability,palatability_s2,cart,2
0,results/cart/vAAAI-23_WFPexample_palatability_s3_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 10, 'max_features': 1.0, 'min_samples_leaf': 0.02}",-0.013928122868871235,0.011322700839432464,0.7787131201566092,0.015793678819206357,0.6964705556365257,0.5,0.94428481929833,0.9228558505549751,palatability,palatability_s3,cart,3
0,results/cart/vAAAI-23_WFPexample_palatability_s4_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 10, 'max_features': 1.0, 'min_samples_leaf': 0.02}",-0.01317161744819452,0.011550750401589462,0.7725559383568736,0.014308102067169443,0.7252045103700591,0.5,0.9454116292458261,0.9318239129651644,palatability,palatability_s4,cart,4
